timestep,pixels
0,"25,3;26,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5;24,6;25,6;26,6;27,6"
1,"25,3;26,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5;24,6;25,6;26,6;27,6"
2,"25,3;26,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5;24,6;25,6;26,6;27,6"
3,"25,3;26,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5;24,6;25,6;26,6;27,6"
4,"25,3;26,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5;24,6;25,6;26,6;27,6"
5,"25,3;26,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5;24,6;25,6;26,6;27,6"
6,"25,3;26,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5;24,6;25,6;26,6;27,6"
7,"25,3;26,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5;24,6;25,6;26,6;27,6"
8,"25,3;26,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5;24,6;25,6;26,6;27,6"
9,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
10,"25,3;26,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5;24,6;25,6;26,6;27,6"
11,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
12,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
13,"25,3;26,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5;24,6;25,6;26,6;27,6"
14,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
15,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
16,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
17,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
18,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
19,"25,3;26,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5;24,6;25,6;26,6;27,6"
20,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
21,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
22,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
23,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
24,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
25,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
26,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
27,"25,2;26,2;24,3;25,3;26,3;27,3;24,4;25,4;26,4;27,4;24,5;25,5;26,5;27,5"
