timestep,pixels
0,"0,7;1,7;0,8;1,8;2,8;0,9;1,9;2,9;3,9;0,10;1,10;2,10;1,11"
1,"0,7;1,7;0,8;1,8;2,8;0,9;1,9;2,9;3,9;0,10;1,10;2,10;1,11"
2,"0,7;1,7;0,8;1,8;2,8;0,9;1,9;2,9;3,9;0,10;1,10;2,10;1,11"
3,"0,7;1,7;0,8;1,8;2,8;0,9;1,9;2,9;3,9;0,10;1,10;2,10;1,11"
4,"0,7;1,7;0,8;1,8;2,8;0,9;1,9;2,9;3,9;0,10;1,10;2,10;1,11"
5,"0,7;1,7;0,8;1,8;2,8;0,9;1,9;2,9;3,9;0,10;1,10;2,10;1,11"
6,"0,7;1,7;0,8;1,8;2,8;0,9;1,9;2,9;3,9;0,10;1,10;2,10;1,11"
7,"0,7;1,7;0,8;1,8;2,8;0,9;1,9;2,9;3,9;0,10;1,10;2,10;1,11"
8,"0,7;1,7;0,8;1,8;2,8;0,9;1,9;2,9;3,9;0,10;1,10;2,10;1,11"
9,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
10,"0,7;1,7;0,8;1,8;2,8;0,9;1,9;2,9;3,9;0,10;1,10;2,10;1,11"
11,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
12,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
13,"0,7;1,7;0,8;1,8;2,8;0,9;1,9;2,9;3,9;0,10;1,10;2,10;1,11"
14,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
15,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
16,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
17,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
18,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
19,"0,7;1,7;0,8;1,8;2,8;0,9;1,9;2,9;3,9;0,10;1,10;2,10;1,11"
20,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
21,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
22,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
23,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
24,"0,6;1,6;0,7;1,7;2,7;0,8;1,8;2,8;3,8;0,9;1,9;2,9;1,10"
