timestep,pixels
0,"19,11;20,11;21,11;22,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;18,15;19,15;20,15;21,15;22,15;23,15;19,16;20,16;21,16;22,16;23,16"
1,"19,11;20,11;21,11;22,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;18,15;19,15;20,15;21,15;22,15;23,15;19,16;20,16;21,16;22,16;23,16"
2,"19,11;20,11;21,11;22,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;18,15;19,15;20,15;21,15;22,15;23,15;19,16;20,16;21,16;22,16;23,16"
3,"19,11;20,11;21,11;22,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;18,15;19,15;20,15;21,15;22,15;23,15;19,16;20,16;21,16;22,16;23,16"
4,"19,11;20,11;21,11;22,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;18,15;19,15;20,15;21,15;22,15;23,15;19,16;20,16;21,16;22,16;23,16"
5,"19,11;20,11;21,11;22,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;18,15;19,15;20,15;21,15;22,15;23,15;19,16;20,16;21,16;22,16;23,16"
6,"19,11;20,11;21,11;22,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;18,15;19,15;20,15;21,15;22,15;23,15;19,16;20,16;21,16;22,16;23,16"
7,"19,11;20,11;21,11;22,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;18,15;19,15;20,15;21,15;22,15;23,15;19,16;20,16;21,16;22,16;23,16"
8,"19,11;20,11;21,11;22,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;18,15;19,15;20,15;21,15;22,15;23,15;19,16;20,16;21,16;22,16;23,16"
9,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
10,"19,11;20,11;21,11;22,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;18,15;19,15;20,15;21,15;22,15;23,15;19,16;20,16;21,16;22,16;23,16"
11,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
12,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
13,"19,11;20,11;21,11;22,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;18,15;19,15;20,15;21,15;22,15;23,15;19,16;20,16;21,16;22,16;23,16"
14,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
15,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
16,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
17,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
18,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
19,"19,11;20,11;21,11;22,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;18,15;19,15;20,15;21,15;22,15;23,15;19,16;20,16;21,16;22,16;23,16"
