timestep,pixels
0,"2,12;3,12;4,12;5,12;6,12;1,13;2,13;3,13;4,13;5,13;6,13;7,13;1,14;2,14;3,14;4,14;5,14;6,14;7,14;8,14;1,15;2,15;3,15;4,15;5,15;6,15;7,15;8,15;1,16;2,16;3,16;4,16;5,16;6,16;7,16;8,16;2,17;3,17;4,17;5,17;6,17;7,17;8,17;2,18;3,18;4,18;5,18;6,18;7,18;8,18;2,19;3,19;4,19;5,19;6,19;7,19;3,20;4,20;5,20;6,20"
1,"2,12;3,12;4,12;5,12;6,12;1,13;2,13;3,13;4,13;5,13;6,13;7,13;1,14;2,14;3,14;4,14;5,14;6,14;7,14;8,14;1,15;2,15;3,15;4,15;5,15;6,15;7,15;8,15;1,16;2,16;3,16;4,16;5,16;6,16;7,16;8,16;2,17;3,17;4,17;5,17;6,17;7,17;8,17;2,18;3,18;4,18;5,18;6,18;7,18;8,18;2,19;3,19;4,19;5,19;6,19;7,19;3,20;4,20;5,20;6,20"
2,"2,12;3,12;4,12;5,12;6,12;1,13;2,13;3,13;4,13;5,13;6,13;7,13;1,14;2,14;3,14;4,14;5,14;6,14;7,14;8,14;1,15;2,15;3,15;4,15;5,15;6,15;7,15;8,15;1,16;2,16;3,16;4,16;5,16;6,16;7,16;8,16;2,17;3,17;4,17;5,17;6,17;7,17;8,17;2,18;3,18;4,18;5,18;6,18;7,18;8,18;2,19;3,19;4,19;5,19;6,19;7,19;3,20;4,20;5,20;6,20"
3,"2,12;3,12;4,12;5,12;6,12;1,13;2,13;3,13;4,13;5,13;6,13;7,13;1,14;2,14;3,14;4,14;5,14;6,14;7,14;8,14;1,15;2,15;3,15;4,15;5,15;6,15;7,15;8,15;1,16;2,16;3,16;4,16;5,16;6,16;7,16;8,16;2,17;3,17;4,17;5,17;6,17;7,17;8,17;2,18;3,18;4,18;5,18;6,18;7,18;8,18;2,19;3,19;4,19;5,19;6,19;7,19;3,20;4,20;5,20;6,20"
4,"2,12;3,12;4,12;5,12;6,12;1,13;2,13;3,13;4,13;5,13;6,13;7,13;1,14;2,14;3,14;4,14;5,14;6,14;7,14;8,14;1,15;2,15;3,15;4,15;5,15;6,15;7,15;8,15;1,16;2,16;3,16;4,16;5,16;6,16;7,16;8,16;2,17;3,17;4,17;5,17;6,17;7,17;8,17;2,18;3,18;4,18;5,18;6,18;7,18;8,18;2,19;3,19;4,19;5,19;6,19;7,19;3,20;4,20;5,20;6,20"
5,"2,12;3,12;4,12;5,12;6,12;1,13;2,13;3,13;4,13;5,13;6,13;7,13;1,14;2,14;3,14;4,14;5,14;6,14;7,14;8,14;1,15;2,15;3,15;4,15;5,15;6,15;7,15;8,15;1,16;2,16;3,16;4,16;5,16;6,16;7,16;8,16;2,17;3,17;4,17;5,17;6,17;7,17;8,17;2,18;3,18;4,18;5,18;6,18;7,18;8,18;2,19;3,19;4,19;5,19;6,19;7,19;3,20;4,20;5,20;6,20"
6,"2,12;3,12;4,12;5,12;6,12;1,13;2,13;3,13;4,13;5,13;6,13;7,13;1,14;2,14;3,14;4,14;5,14;6,14;7,14;8,14;1,15;2,15;3,15;4,15;5,15;6,15;7,15;8,15;1,16;2,16;3,16;4,16;5,16;6,16;7,16;8,16;2,17;3,17;4,17;5,17;6,17;7,17;8,17;2,18;3,18;4,18;5,18;6,18;7,18;8,18;2,19;3,19;4,19;5,19;6,19;7,19;3,20;4,20;5,20;6,20"
7,"2,12;3,12;4,12;5,12;6,12;1,13;2,13;3,13;4,13;5,13;6,13;7,13;1,14;2,14;3,14;4,14;5,14;6,14;7,14;8,14;1,15;2,15;3,15;4,15;5,15;6,15;7,15;8,15;1,16;2,16;3,16;4,16;5,16;6,16;7,16;8,16;2,17;3,17;4,17;5,17;6,17;7,17;8,17;2,18;3,18;4,18;5,18;6,18;7,18;8,18;2,19;3,19;4,19;5,19;6,19;7,19;3,20;4,20;5,20;6,20"
8,"2,12;3,12;4,12;5,12;6,12;1,13;2,13;3,13;4,13;5,13;6,13;7,13;1,14;2,14;3,14;4,14;5,14;6,14;7,14;8,14;1,15;2,15;3,15;4,15;5,15;6,15;7,15;8,15;1,16;2,16;3,16;4,16;5,16;6,16;7,16;8,16;2,17;3,17;4,17;5,17;6,17;7,17;8,17;2,18;3,18;4,18;5,18;6,18;7,18;8,18;2,19;3,19;4,19;5,19;6,19;7,19;3,20;4,20;5,20;6,20"
9,"2,11;3,11;4,11;5,11;6,11;1,12;2,12;3,12;4,12;5,12;6,12;7,12;1,13;2,13;3,13;4,13;5,13;6,13;7,13;8,13;1,14;2,14;3,14;4,14;5,14;6,14;7,14;8,14;1,15;2,15;3,15;4,15;5,15;6,15;7,15;8,15;2,16;3,16;4,16;5,16;6,16;7,16;8,16;2,17;3,17;4,17;5,17;6,17;7,17;8,17;2,18;3,18;4,18;5,18;6,18;7,18;3,19;4,19;5,19;6,19"
