timestep,pixels
0,"11,14;12,14;13,14;14,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;10,17;11,17;12,17;13,17;14,17;15,17;11,18;12,18;13,18;14,18;12,19;13,19;14,19"
1,"11,14;12,14;13,14;14,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;10,17;11,17;12,17;13,17;14,17;15,17;11,18;12,18;13,18;14,18;12,19;13,19;14,19"
2,"11,14;12,14;13,14;14,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;10,17;11,17;12,17;13,17;14,17;15,17;11,18;12,18;13,18;14,18;12,19;13,19;14,19"
3,"11,14;12,14;13,14;14,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;10,17;11,17;12,17;13,17;14,17;15,17;11,18;12,18;13,18;14,18;12,19;13,19;14,19"
4,"11,14;12,14;13,14;14,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;10,17;11,17;12,17;13,17;14,17;15,17;11,18;12,18;13,18;14,18;12,19;13,19;14,19"
5,"11,14;12,14;13,14;14,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;10,17;11,17;12,17;13,17;14,17;15,17;11,18;12,18;13,18;14,18;12,19;13,19;14,19"
6,"11,14;12,14;13,14;14,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;10,17;11,17;12,17;13,17;14,17;15,17;11,18;12,18;13,18;14,18;12,19;13,19;14,19"
7,"11,14;12,14;13,14;14,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;10,17;11,17;12,17;13,17;14,17;15,17;11,18;12,18;13,18;14,18;12,19;13,19;14,19"
8,"11,14;12,14;13,14;14,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;10,17;11,17;12,17;13,17;14,17;15,17;11,18;12,18;13,18;14,18;12,19;13,19;14,19"
9,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
10,"11,14;12,14;13,14;14,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;10,17;11,17;12,17;13,17;14,17;15,17;11,18;12,18;13,18;14,18;12,19;13,19;14,19"
11,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
12,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
13,"11,14;12,14;13,14;14,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;10,17;11,17;12,17;13,17;14,17;15,17;11,18;12,18;13,18;14,18;12,19;13,19;14,19"
14,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
15,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
16,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
17,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
18,"11,13;12,13;13,13;14,13;10,14;11,14;12,14;13,14;14,14;15,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;11,17;12,17;13,17;14,17;12,18;13,18;14,18"
19,"11,14;12,14;13,14;14,14;10,15;11,15;12,15;13,15;14,15;15,15;10,16;11,16;12,16;13,16;14,16;15,16;10,17;11,17;12,17;13,17;14,17;15,17;11,18;12,18;13,18;14,18;12,19;13,19;14,19"
