timestep,pixels
0,"16,17;17,17;18,17;15,18;16,18;17,18;18,18;19,18;15,19;16,19;17,19;18,19;19,19;20,19;15,20;16,20;17,20;18,20;19,20;20,20;16,21;17,21;18,21;19,21;20,21;17,22;18,22;19,22;20,22;18,23;19,23"
1,"16,17;17,17;18,17;15,18;16,18;17,18;18,18;19,18;15,19;16,19;17,19;18,19;19,19;20,19;15,20;16,20;17,20;18,20;19,20;20,20;16,21;17,21;18,21;19,21;20,21;17,22;18,22;19,22;20,22;18,23;19,23"
2,"16,17;17,17;18,17;15,18;16,18;17,18;18,18;19,18;15,19;16,19;17,19;18,19;19,19;20,19;15,20;16,20;17,20;18,20;19,20;20,20;16,21;17,21;18,21;19,21;20,21;17,22;18,22;19,22;20,22;18,23;19,23"
3,"16,17;17,17;18,17;15,18;16,18;17,18;18,18;19,18;15,19;16,19;17,19;18,19;19,19;20,19;15,20;16,20;17,20;18,20;19,20;20,20;16,21;17,21;18,21;19,21;20,21;17,22;18,22;19,22;20,22;18,23;19,23"
4,"16,17;17,17;18,17;15,18;16,18;17,18;18,18;19,18;15,19;16,19;17,19;18,19;19,19;20,19;15,20;16,20;17,20;18,20;19,20;20,20;16,21;17,21;18,21;19,21;20,21;17,22;18,22;19,22;20,22;18,23;19,23"
5,"16,17;17,17;18,17;15,18;16,18;17,18;18,18;19,18;15,19;16,19;17,19;18,19;19,19;20,19;15,20;16,20;17,20;18,20;19,20;20,20;16,21;17,21;18,21;19,21;20,21;17,22;18,22;19,22;20,22;18,23;19,23"
6,"16,17;17,17;18,17;15,18;16,18;17,18;18,18;19,18;15,19;16,19;17,19;18,19;19,19;20,19;15,20;16,20;17,20;18,20;19,20;20,20;16,21;17,21;18,21;19,21;20,21;17,22;18,22;19,22;20,22;18,23;19,23"
7,"16,17;17,17;18,17;15,18;16,18;17,18;18,18;19,18;15,19;16,19;17,19;18,19;19,19;20,19;15,20;16,20;17,20;18,20;19,20;20,20;16,21;17,21;18,21;19,21;20,21;17,22;18,22;19,22;20,22;18,23;19,23"
8,"16,17;17,17;18,17;15,18;16,18;17,18;18,18;19,18;15,19;16,19;17,19;18,19;19,19;20,19;15,20;16,20;17,20;18,20;19,20;20,20;16,21;17,21;18,21;19,21;20,21;17,22;18,22;19,22;20,22;18,23;19,23"
9,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
10,"16,17;17,17;18,17;15,18;16,18;17,18;18,18;19,18;15,19;16,19;17,19;18,19;19,19;20,19;15,20;16,20;17,20;18,20;19,20;20,20;16,21;17,21;18,21;19,21;20,21;17,22;18,22;19,22;20,22;18,23;19,23"
11,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
12,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
13,"16,17;17,17;18,17;15,18;16,18;17,18;18,18;19,18;15,19;16,19;17,19;18,19;19,19;20,19;15,20;16,20;17,20;18,20;19,20;20,20;16,21;17,21;18,21;19,21;20,21;17,22;18,22;19,22;20,22;18,23;19,23"
14,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
15,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
16,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
17,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
18,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
19,"16,17;17,17;18,17;15,18;16,18;17,18;18,18;19,18;15,19;16,19;17,19;18,19;19,19;20,19;15,20;16,20;17,20;18,20;19,20;20,20;16,21;17,21;18,21;19,21;20,21;17,22;18,22;19,22;20,22;18,23;19,23"
20,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
21,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
22,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
23,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
24,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
25,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
26,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
27,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
28,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
29,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
30,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
31,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
32,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
33,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
34,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
35,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
36,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
37,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
38,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
39,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
40,"16,15;17,15;18,15;15,16;16,16;17,16;18,16;19,16;15,17;16,17;17,17;18,17;19,17;20,17;15,18;16,18;17,18;18,18;19,18;20,18;16,19;17,19;18,19;19,19;20,19;17,20;18,20;19,20;20,20;18,21;19,21"
41,"16,15;17,15;18,15;15,16;16,16;17,16;18,16;19,16;15,17;16,17;17,17;18,17;19,17;20,17;15,18;16,18;17,18;18,18;19,18;20,18;16,19;17,19;18,19;19,19;20,19;17,20;18,20;19,20;20,20;18,21;19,21"
42,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
43,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
44,"16,15;17,15;18,15;15,16;16,16;17,16;18,16;19,16;15,17;16,17;17,17;18,17;19,17;20,17;15,18;16,18;17,18;18,18;19,18;20,18;16,19;17,19;18,19;19,19;20,19;17,20;18,20;19,20;20,20;18,21;19,21"
45,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
46,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
47,"16,15;17,15;18,15;15,16;16,16;17,16;18,16;19,16;15,17;16,17;17,17;18,17;19,17;20,17;15,18;16,18;17,18;18,18;19,18;20,18;16,19;17,19;18,19;19,19;20,19;17,20;18,20;19,20;20,20;18,21;19,21"
48,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
49,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
50,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
51,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
52,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
53,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
54,"17,15;18,15;19,15;16,16;17,16;18,16;19,16;20,16;16,17;17,17;18,17;19,17;20,17;21,17;16,18;17,18;18,18;19,18;20,18;21,18;17,19;18,19;19,19;20,19;21,19;18,20;19,20;20,20;21,20;19,21;20,21"
55,"17,15;18,15;19,15;16,16;17,16;18,16;19,16;20,16;16,17;17,17;18,17;19,17;20,17;21,17;16,18;17,18;18,18;19,18;20,18;21,18;17,19;18,19;19,19;20,19;21,19;18,20;19,20;20,20;21,20;19,21;20,21"
56,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
57,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
58,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
59,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
60,"16,16;17,16;18,16;15,17;16,17;17,17;18,17;19,17;15,18;16,18;17,18;18,18;19,18;20,18;15,19;16,19;17,19;18,19;19,19;20,19;16,20;17,20;18,20;19,20;20,20;17,21;18,21;19,21;20,21;18,22;19,22"
61,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
62,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
63,"17,15;18,15;19,15;16,16;17,16;18,16;19,16;20,16;16,17;17,17;18,17;19,17;20,17;21,17;16,18;17,18;18,18;19,18;20,18;21,18;17,19;18,19;19,19;20,19;21,19;18,20;19,20;20,20;21,20;19,21;20,21"
64,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
65,"17,15;18,15;19,15;16,16;17,16;18,16;19,16;20,16;16,17;17,17;18,17;19,17;20,17;21,17;16,18;17,18;18,18;19,18;20,18;21,18;17,19;18,19;19,19;20,19;21,19;18,20;19,20;20,20;21,20;19,21;20,21"
66,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
67,"17,15;18,15;19,15;16,16;17,16;18,16;19,16;20,16;16,17;17,17;18,17;19,17;20,17;21,17;16,18;17,18;18,18;19,18;20,18;21,18;17,19;18,19;19,19;20,19;21,19;18,20;19,20;20,20;21,20;19,21;20,21"
68,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
69,"17,15;18,15;19,15;16,16;17,16;18,16;19,16;20,16;16,17;17,17;18,17;19,17;20,17;21,17;16,18;17,18;18,18;19,18;20,18;21,18;17,19;18,19;19,19;20,19;21,19;18,20;19,20;20,20;21,20;19,21;20,21"
70,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
71,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
72,"17,15;18,15;19,15;16,16;17,16;18,16;19,16;20,16;16,17;17,17;18,17;19,17;20,17;21,17;16,18;17,18;18,18;19,18;20,18;21,18;17,19;18,19;19,19;20,19;21,19;18,20;19,20;20,20;21,20;19,21;20,21"
73,"17,15;18,15;19,15;16,16;17,16;18,16;19,16;20,16;16,17;17,17;18,17;19,17;20,17;21,17;16,18;17,18;18,18;19,18;20,18;21,18;17,19;18,19;19,19;20,19;21,19;18,20;19,20;20,20;21,20;19,21;20,21"
74,"17,15;18,15;19,15;16,16;17,16;18,16;19,16;20,16;16,17;17,17;18,17;19,17;20,17;21,17;16,18;17,18;18,18;19,18;20,18;21,18;17,19;18,19;19,19;20,19;21,19;18,20;19,20;20,20;21,20;19,21;20,21"
75,"18,15;19,15;20,15;17,16;18,16;19,16;20,16;21,16;17,17;18,17;19,17;20,17;21,17;22,17;17,18;18,18;19,18;20,18;21,18;22,18;18,19;19,19;20,19;21,19;22,19;19,20;20,20;21,20;22,20;20,21;21,21"
