timestep,pixels
0,"26,20;27,20;28,20;29,20;25,21;26,21;27,21;28,21;29,21;26,22;27,22;28,22;29,22;27,23;28,23;29,23;29,24"
1,"26,20;27,20;28,20;29,20;25,21;26,21;27,21;28,21;29,21;26,22;27,22;28,22;29,22;27,23;28,23;29,23;29,24"
2,"26,20;27,20;28,20;29,20;25,21;26,21;27,21;28,21;29,21;26,22;27,22;28,22;29,22;27,23;28,23;29,23;29,24"
3,"26,20;27,20;28,20;29,20;25,21;26,21;27,21;28,21;29,21;26,22;27,22;28,22;29,22;27,23;28,23;29,23;29,24"
4,"26,20;27,20;28,20;29,20;25,21;26,21;27,21;28,21;29,21;26,22;27,22;28,22;29,22;27,23;28,23;29,23;29,24"
5,"26,20;27,20;28,20;29,20;25,21;26,21;27,21;28,21;29,21;26,22;27,22;28,22;29,22;27,23;28,23;29,23;29,24"
6,"26,20;27,20;28,20;29,20;25,21;26,21;27,21;28,21;29,21;26,22;27,22;28,22;29,22;27,23;28,23;29,23;29,24"
7,"26,20;27,20;28,20;29,20;25,21;26,21;27,21;28,21;29,21;26,22;27,22;28,22;29,22;27,23;28,23;29,23;29,24"
8,"26,20;27,20;28,20;29,20;25,21;26,21;27,21;28,21;29,21;26,22;27,22;28,22;29,22;27,23;28,23;29,23;29,24"
9,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
10,"26,20;27,20;28,20;29,20;25,21;26,21;27,21;28,21;29,21;26,22;27,22;28,22;29,22;27,23;28,23;29,23;29,24"
11,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
12,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
13,"26,20;27,20;28,20;29,20;25,21;26,21;27,21;28,21;29,21;26,22;27,22;28,22;29,22;27,23;28,23;29,23;29,24"
14,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
15,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
16,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
17,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
18,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
19,"26,20;27,20;28,20;29,20;25,21;26,21;27,21;28,21;29,21;26,22;27,22;28,22;29,22;27,23;28,23;29,23;29,24"
20,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
21,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
22,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
23,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
24,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
25,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
26,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
27,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
28,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
29,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
30,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
31,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
32,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
33,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
34,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
35,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
36,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
37,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
38,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
39,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
40,"26,18;27,18;28,18;29,18;25,19;26,19;27,19;28,19;29,19;26,20;27,20;28,20;29,20;27,21;28,21;29,21;29,22"
41,"26,18;27,18;28,18;29,18;25,19;26,19;27,19;28,19;29,19;26,20;27,20;28,20;29,20;27,21;28,21;29,21;29,22"
42,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
43,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
44,"26,18;27,18;28,18;29,18;25,19;26,19;27,19;28,19;29,19;26,20;27,20;28,20;29,20;27,21;28,21;29,21;29,22"
45,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
46,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
47,"26,18;27,18;28,18;29,18;25,19;26,19;27,19;28,19;29,19;26,20;27,20;28,20;29,20;27,21;28,21;29,21;29,22"
48,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
49,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
50,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
51,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
52,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
53,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
54,"27,18;28,18;29,18;30,18;26,19;27,19;28,19;29,19;30,19;27,20;28,20;29,20;30,20;28,21;29,21;30,21;30,22"
55,"27,18;28,18;29,18;30,18;26,19;27,19;28,19;29,19;30,19;27,20;28,20;29,20;30,20;28,21;29,21;30,21;30,22"
56,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
57,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
58,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
59,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
60,"26,19;27,19;28,19;29,19;25,20;26,20;27,20;28,20;29,20;26,21;27,21;28,21;29,21;27,22;28,22;29,22;29,23"
61,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
62,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
63,"27,18;28,18;29,18;30,18;26,19;27,19;28,19;29,19;30,19;27,20;28,20;29,20;30,20;28,21;29,21;30,21;30,22"
64,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
65,"27,18;28,18;29,18;30,18;26,19;27,19;28,19;29,19;30,19;27,20;28,20;29,20;30,20;28,21;29,21;30,21;30,22"
66,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
67,"27,18;28,18;29,18;30,18;26,19;27,19;28,19;29,19;30,19;27,20;28,20;29,20;30,20;28,21;29,21;30,21;30,22"
68,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
69,"27,18;28,18;29,18;30,18;26,19;27,19;28,19;29,19;30,19;27,20;28,20;29,20;30,20;28,21;29,21;30,21;30,22"
70,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
71,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
72,"27,18;28,18;29,18;30,18;26,19;27,19;28,19;29,19;30,19;27,20;28,20;29,20;30,20;28,21;29,21;30,21;30,22"
73,"27,18;28,18;29,18;30,18;26,19;27,19;28,19;29,19;30,19;27,20;28,20;29,20;30,20;28,21;29,21;30,21;30,22"
74,"27,18;28,18;29,18;30,18;26,19;27,19;28,19;29,19;30,19;27,20;28,20;29,20;30,20;28,21;29,21;30,21;30,22"
75,"28,18;29,18;30,18;31,18;27,19;28,19;29,19;30,19;31,19;28,20;29,20;30,20;31,20;29,21;30,21;31,21;31,22"
76,"27,18;28,18;29,18;30,18;26,19;27,19;28,19;29,19;30,19;27,20;28,20;29,20;30,20;28,21;29,21;30,21;30,22"
77,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
78,"27,18;28,18;29,18;30,18;26,19;27,19;28,19;29,19;30,19;27,20;28,20;29,20;30,20;28,21;29,21;30,21;30,22"
79,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
80,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
81,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
82,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
83,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
84,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
