timestep,avg_Ewe/V
0,3.343647097
1,3.622586452
2,3.689885667
3,3.736824516
4,3.769393871
5,3.793506333
6,3.814355806
7,3.834099
8,3.855096129
9,3.880063871
10,3.908825
11,3.94075
12,3.974370333
13,4.008784194
14,4.044467742
15,4.080478333
16,4.118079032
17,4.158462581
18,4.200550667
19,4.24490129
20,4.291141333
21,4.339012258
22,4.384632258
23,4.419810333
24,4.447002258
25,4.468896667
26,4.48687129
27,4.501615484
28,4.513217333
29,4.522655806
30,4.530445484
31,4.537221667
32,4.543301935
33,4.548883333
34,4.554367419
35,4.559940968
36,4.565506333
37,4.57158871
38,4.578415667
39,4.586167097
40,4.595564194
41,4.606744333
42,4.621393871
43,4.641793548
44,4.670016
45,4.632114194
46,4.454368333
47,4.385205806
48,4.328766452
49,4.276139
50,4.224493226
51,4.173642667
52,4.124520968
53,4.077522903
54,4.034650667
55,3.995297419
56,3.959396667
57,3.926769355
58,3.896397742
59,3.868596
60,3.842361935
61,3.816802581
62,3.792922667
63,3.770646452
64,3.750050667
65,3.730656452
66,3.710820968
67,3.689596
68,3.665277742
69,3.637223667
70,3.604726452
71,3.567372581
72,3.527267667
73,3.484892258
74,3.439814194
75,3.392082667
76,3.339609677
77,3.280532667
78,3.214715484
79,3.143932258
80,3.070507
81,3.06969
82,3.349096667
83,3.50619
84,3.551138387
85,3.598987667
86,3.647212258
87,3.688708387
88,3.719727333
89,3.743755806
90,3.764032333
91,3.783135484
92,3.803025806
93,3.82404
94,3.846533226
95,3.870160667
96,3.894371935
97,3.919294194
98,3.944370333
99,3.970372903
100,3.998084194
101,4.026900667
102,4.057404839
103,4.089865333
104,4.124374839
105,4.161576452
106,4.199783333
107,4.239050645
108,4.278560667
109,4.317970645
110,4.358100645
111,4.397505333
112,4.437536774
113,4.479138333
