timestep,start_time_h,end_time_h,avg_Ewe/V
0,0.000277056,0.00141,3.343647097
1,0.00146,0.08246,3.622586452
2,0.0908,0.33246,3.689885667
3,0.3408,0.5908,3.736824516
4,0.59913,0.84913,3.769393871
5,0.85746,1.09913,3.793506333
6,1.10746,1.35746,3.814355806
7,1.3658,1.60746,3.834099
8,1.6158,1.8658,3.855096129
9,1.87413,2.12413,3.880063871
10,2.13246,2.37413,3.908825
11,2.38246,2.63246,3.94075
12,2.6408,2.88246,3.974370333
13,2.8908,3.1408,4.008784194
14,3.14913,3.39913,4.044467742
15,3.40746,3.64913,4.080478333
16,3.65746,3.90746,4.118079032
17,3.9158,4.1658,4.158462581
18,4.17413,4.4158,4.200550667
19,4.42413,4.67413,4.24490129
20,4.68246,4.92413,4.291141333
21,4.93246,5.18246,4.339012258
22,5.1908,5.4408,4.384632258
23,5.44913,5.6908,4.419810333
24,5.69913,5.94913,4.447002258
25,5.95746,6.19913,4.468896667
26,6.20746,6.45746,4.48687129
27,6.4658,6.7158,4.501615484
28,6.72413,6.9658,4.513217333
29,6.97413,7.22413,4.522655806
30,7.23246,7.48246,4.530445484
31,7.4908,7.73246,4.537221667
32,7.7408,7.99079,4.543301935
33,7.99913,8.24079,4.548883333
34,8.24913,8.49913,4.554367419
35,8.50746,8.75746,4.559940968
36,8.76579,9.00746,4.565506333
37,9.01579,9.26579,4.57158871
38,9.27413,9.51579,4.578415667
39,9.52413,9.77413,4.586167097
40,9.78246,10.03246,4.595564194
41,10.04079,10.28246,4.606744333
42,10.29079,10.54079,4.621393871
43,10.54913,10.79913,4.641793548
44,10.80746,11.04913,4.670016
45,11.05746,11.15301,4.632114194
46,11.16135,11.40301,4.454368333
47,11.41135,11.66135,4.385205806
48,11.66968,11.91968,4.328766452
49,11.92801,12.16968,4.276139
50,12.17801,12.42801,4.224493226
51,12.43635,12.67801,4.173642667
52,12.68635,12.93635,4.124520968
53,12.94468,13.19468,4.077522903
54,13.20301,13.44468,4.034650667
55,13.45301,13.70301,3.995297419
56,13.71135,13.95301,3.959396667
57,13.96135,14.21135,3.926769355
58,14.21968,14.46968,3.896397742
59,14.47801,14.71968,3.868596
60,14.72801,14.97801,3.842361935
61,14.98635,15.23635,3.816802581
62,15.24468,15.48635,3.792922667
63,15.49468,15.74468,3.770646452
64,15.75301,15.99468,3.750050667
65,16.00301,16.25301,3.730656452
66,16.26135,16.51135,3.710820968
67,16.51968,16.76135,3.689596
68,16.76968,17.01968,3.665277742
69,17.02801,17.26968,3.637223667
70,17.27801,17.52801,3.604726452
71,17.53635,17.78635,3.567372581
72,17.79468,18.03635,3.527267667
73,18.04468,18.29468,3.484892258
74,18.30301,18.55302,3.439814194
75,18.56135,18.80302,3.392082667
76,18.81135,19.06135,3.339609677
77,19.06969,19.31135,3.280532667
78,19.31969,19.56969,3.214715484
79,19.57802,19.82802,3.143932258
80,19.83636,20.07802,3.070507
81,20.08636,20.16242,3.06969
82,20.1627,20.25964,3.349096667
83,20.26798,20.51798,3.50619
84,20.52631,20.77631,3.551138387
85,20.78465,21.02631,3.598987667
86,21.03465,21.28465,3.647212258
87,21.29298,21.54298,3.688708387
88,21.55132,21.79299,3.719727333
89,21.80132,22.05132,3.743755806
90,22.05965,22.30132,3.764032333
91,22.30966,22.55966,3.783135484
92,22.56799,22.81799,3.803025806
93,22.82633,23.06799,3.82404
94,23.07633,23.32633,3.846533226
95,23.33466,23.57633,3.870160667
96,23.58466,23.83467,3.894371935
97,23.843,24.093,3.919294194
98,24.10133,24.343,3.944370333
99,24.35134,24.60134,3.970372903
100,24.60967,24.85967,3.998084194
101,24.86801,25.10967,4.026900667
102,25.11801,25.36801,4.057404839
103,25.37634,25.61801,4.089865333
104,25.62634,25.87635,4.124374839
105,25.88468,26.13468,4.161576452
106,26.14301,26.38468,4.199783333
107,26.39302,26.64302,4.239050645
108,26.65135,26.89302,4.278560667
109,26.90135,27.15135,4.317970645
110,27.15969,27.40969,4.358100645
111,27.41802,27.65969,4.397505333
112,27.66802,27.91802,4.437536774
113,27.92636,28.16335,4.479138333
