time/h,Ewe/V,timestep
0.000277056,3.2013,0
0.000555556,3.20234,0
0.000555667,3.21292,0
0.000559333,3.22295,0
0.000570389,3.23297,0
0.000584833,3.24299,0
0.000602111,3.25301,0
0.000621667,3.26309,0
0.000643167,3.27314,0
0.000666278,3.2832,0
0.000691111,3.29327,0
0.000717611,3.30332,0
0.000745056,3.31335,0
0.000773833,3.32338,0
0.000803556,3.33339,0
0.0008345,3.34346,0
0.000866444,3.35346,0
0.000899778,3.36349,0
0.000933667,3.37351,0
0.0009685,3.38354,0
0.001,3.39357,0
0.00104,3.40357,0
0.00108,3.41366,0
0.00112,3.42367,0
0.00116,3.43369,0
0.0012,3.44372,0
0.00124,3.45376,0
0.00128,3.46378,0
0.00132,3.47383,0
0.00137,3.48386,0
0.00141,3.49387,0
0.00146,3.5039,1
0.00151,3.51399,1
0.00156,3.52404,1
0.00161,3.53406,1
0.00166,3.54412,1
0.00171,3.55413,1
0.00177,3.56414,1
0.00183,3.57421,1
0.00189,3.58427,1
0.00195,3.59427,1
0.00202,3.60432,1
0.00209,3.61434,1
0.00216,3.62439,1
0.00224,3.63439,1
0.00232,3.64446,1
0.00241,3.65453,1
0.00252,3.66455,1
0.00264,3.67456,1
0.00279,3.68457,1
0.00302,3.69458,1
0.00527,3.68456,1
0.00746,3.67455,1
0.0158,3.66485,1
0.02413,3.66179,1
0.03246,3.66045,1
0.0408,3.66008,1
0.04913,3.65994,1
0.05746,3.66059,1
0.0658,3.66143,1
0.07413,3.66247,1
0.08246,3.66365,1
0.0908,3.66501,2
0.09913,3.66648,2
0.10746,3.66807,2
0.1158,3.66971,2
0.12413,3.67134,2
0.13246,3.673,2
0.1408,3.67476,2
0.14913,3.67643,2
0.15746,3.67826,2
0.1658,3.67997,2
0.17413,3.68184,2
0.18246,3.68359,2
0.1908,3.68534,2
0.19913,3.6872,2
0.20746,3.68908,2
0.2158,3.6909,2
0.22413,3.69246,2
0.23246,3.69439,2
0.2408,3.6963,2
0.24913,3.69806,2
0.25746,3.69978,2
0.2658,3.70157,2
0.27413,3.70327,2
0.28246,3.7051,2
0.2908,3.70665,2
0.29913,3.70835,2
0.30746,3.70992,2
0.3158,3.7116,2
0.32413,3.71318,2
0.33246,3.71496,2
0.3408,3.71644,3
0.34913,3.71801,3
0.35746,3.71958,3
0.3658,3.72105,3
0.37413,3.72259,3
0.38246,3.72399,3
0.3908,3.72533,3
0.39913,3.72701,3
0.40746,3.72824,3
0.4158,3.72969,3
0.42413,3.73107,3
0.43246,3.73238,3
